"Guid","AccountId","AssistantName","AssistantPhone","Birthdate","Department","Description","Email","EmailBouncedReason","Fax","FirstName","HasOptedOutOfEmail","HomePhone","Jigsaw","LastName","LeadSource","MailingCity","MailingCountry","MailingGeocodeAccuracy","MailingLatitude","MailingLongitude","MailingPostalCode","MailingState","MailingStreet","MobilePhone","OtherCity","OtherCountry","OtherGeocodeAccuracy","OtherLatitude","OtherLongitude","OtherPhone","OtherPostalCode","OtherState","OtherStreet","Phone","Product_Areas__c","ReportsToId","Salutation","Title","ccrz__CompanyName__c","ccrz__CompanyType__c","ccrz__DataId__c","ccrz__IsPortalUser__c","ccrz__SelfRegistered__c"
00029af5-097d-4323-b995-0dbd35494873,7d478c43-768d-4ff6-8501-53618a450a23,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+352@gmail.com,"#N/A","#N/A",Gerrie,false,"#N/A","#N/A",Denys,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(440)475-1491,"#N/A","#N/A","#N/A",CSO,Prodly,"#N/A","#N/A",false,false
00959b5d-175b-4e43-8446-8bc41e4bf5d6,a0c21f8f-272a-427c-a645-7eb7e22fe93a,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+302@gmail.com,"#N/A","#N/A",Mimi,false,"#N/A","#N/A",Gilbert,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(402)952-5054,"#N/A","#N/A","#N/A",CTO,Prodly,"#N/A","#N/A",false,false
00b8534d-fa5e-44be-bc48-3fa545be8676,2a26bc3b-29f4-47c5-bdff-27186b140b69,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+749@gmail.com,"#N/A","#N/A",Joane,false,"#N/A","#N/A",Ferdie,"#N/A",CARODA,Australia,"#N/A","#N/A","#N/A","#N/A",NSW,88 Bailey Street,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",2347,"#N/A","#N/A",(03) 5338 4012,"#N/A","#N/A","#N/A",SVP,Prodly,"#N/A","#N/A",false,false
01b1ed84-a5d2-4647-bed4-4a262a09ee02,ac5ac6f4-92db-4ef9-8313-e213fc4288b9,"#N/A","#N/A","#N/A","#N/A","Mr. John A. Attaway, Jr., has been the General Counsel and Secretary of Publix Super Markets Inc. since January 1, 2005 and Senior Vice President since January 1, 2005. Mr. Attaway served as a Corporate Counsel of Publix Super Markets Inc. until May 2000.",jmanningcongagdo+84@gmail.com,"#N/A","#N/A",Ashlee,false,"#N/A","#N/A",Keith,"#N/A",Bronx,USA,"#N/A","#N/A","#N/A",10451,NY,1 East 161st Street,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(658) 113-2312,"#N/A","#N/A","#N/A","SVP, General Counsel & Secretary",Prodly,"#N/A","#N/A",false,false
01de412d-904c-4ca7-9b32-88c3a99cd3c9,daf3cf09-4b46-4e78-bcf0-bbe271ee769c,"#N/A","#N/A","#N/A","#N/A","Born in Wichita, Kansas, Darren Woods is a graduate of Texas A&M University, where he earned a Bachelor of Science degree in electrical engineering. He also holds a Master of Business Administration degree from Northwestern's Kellogg School of Management in Evanston, Illinois.",jmanningcongagdo+594@gmail.com,"#N/A","#N/A",Joellyn,false,"#N/A","#N/A",Loren,"#N/A",Arlington,USA,"#N/A","#N/A","#N/A",76011,TX,1 AT&T Way,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(323) 387-7082,"#N/A","#N/A","#N/A",CEO,Prodly,"#N/A","#N/A",false,false
01e49a24-a904-4331-8dd3-1320ba5361cb,368c94e1-a31b-4776-95ab-b70d8e35774f,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+633@gmail.com,"#N/A","#N/A",Blancha,false,"#N/A","#N/A",Jethro,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",011 49 69 3576 6843,"#N/A","#N/A","#N/A","Vice President, IT",Prodly,"#N/A","#N/A",false,false
01ef8d3d-df45-4f6f-a8c9-bbee98c3fdcf,3f717a58-91c8-4fc7-8a80-e1709e7bd8c2,"#N/A","#N/A","#N/A","#N/A","Shawn M. Guertin is Executive Vice President, Chief Financial Officer and Chief Enterprise Risk Officer of Aetna, a Fortune 50 diversified health care benefits company. Mr. Guertin is responsible for financial reporting, investor relations, mergers and acquisitions, treasury and capital planning, actuarial, risk management, tax, budgeting and planning, and procurement and real estate.",jmanningcongagdo+128@gmail.com,"#N/A","#N/A",Bernadina,false,"#N/A","#N/A",Hershel,"#N/A",San Diego,USA,"#N/A","#N/A","#N/A",92101,CA,100 Park Boulevard,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(325) 346-9713,"#N/A","#N/A","#N/A",CFO,Prodly,"#N/A","#N/A",false,false
020c7569-f7d8-4302-8716-841cf3d9518f,907e74bb-6e75-458e-ab20-f68733ba2ca2,"#N/A","#N/A","#N/A","#N/A","Hugh Johnston is vice chairman and chief financial officer of PepsiCo, a global food and beverage company with net revenues of more than $63 billion in 2015 and a product portfolio that includes 22 brands that generate more than $1 billion each in estimated annual retail sales.",jmanningcongagdo+465@gmail.com,"#N/A","#N/A",Silvie,false,"#N/A","#N/A",Curt,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(477) 129-7674,"#N/A","#N/A","#N/A",CFO,Prodly,"#N/A","#N/A",false,false
024af4a4-c6b3-4bb5-833a-2a83e04571fb,fa6f9a0d-31d2-48a4-a793-585e6fadb49b,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+320@gmail.com,"#N/A","#N/A",Tobe,false,"#N/A","#N/A",Louie,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(992) 260-4932,"#N/A","#N/A","#N/A","Chairman, President and Chief Executive Office",Prodly,"#N/A","#N/A",false,false
0298594e-8915-4539-88bf-024ffe2ec347,55d9389d-1657-4e82-85ed-91b230fb54c7,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+708@gmail.com,"#N/A","#N/A",Gilligan,false,"#N/A","#N/A",Walton,"#N/A",KALANG,Australia,"#N/A","#N/A","#N/A","#N/A",NSW,26 Dalgarno Street,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",2454,"#N/A","#N/A",(03) 5338 3999,"#N/A","#N/A","#N/A",CFO,Prodly,"#N/A","#N/A",false,false
